Id,ActivityDate,TotalSteps,HoursAsleep
3977333714,2016-04-25,11177,4.37
3977333714,2016-04-17,10415,6.35
3977333714,2016-05-06,11677,5.38
3977333714,2016-04-14,7641,4.85
3977333714,2016-04-18,11663,6.87
3977333714,2016-05-04,13559,3.55
3977333714,2016-04-23,12058,3.92
3977333714,2016-04-29,10645,5.55
3977333714,2016-05-08,13585,4.32
3977333714,2016-04-20,11658,2.53
3977333714,2016-05-05,12312,5.3
3977333714,2016-04-22,8911,5.92
3977333714,2016-04-21,6093,5.53
3977333714,2016-05-01,10414,6.38
3977333714,2016-05-10,13072,5.2
4020332650,2016-05-04,10252,7.97
4020332650,2016-04-12,8539,8.35
4020332650,2016-05-03,4496,5.37
4020332650,2016-05-10,5546,7.37
4020332650,2016-05-05,11728,3.77
4020332650,2016-05-08,5862,6.07
4020332650,2016-05-06,4369,6.42
4020332650,2016-04-16,1982,1.28
4319703577,2016-04-30,8221,8.17
4319703577,2016-04-14,10210,8.92
4319703577,2016-04-15,5664,7.75
4319703577,2016-05-09,10378,8.92
4319703577,2016-05-02,9261,7.97
4319703577,2016-04-20,8954,8.72
4319703577,2016-04-27,10780,4.77
4319703577,2016-04-26,9899,8.42
4319703577,2016-05-07,7937,8.45
4319703577,2016-04-28,10817,8.28
4319703577,2016-05-12,17,5.03
4319703577,2016-05-08,3672,10.03
4319703577,2016-04-23,4935,11.53
4319703577,2016-04-22,4500,8.88
4319703577,2016-05-01,1251,8.07
4319703577,2016-04-21,3702,0.98
4319703577,2016-04-18,2276,8.58
4319703577,2016-05-06,9524,7.5
4319703577,2016-04-16,4744,8.43
4319703577,2016-04-24,4081,7.78
4319703577,2016-05-11,9129,8.82
4319703577,2016-05-03,9648,7.9
4319703577,2016-04-25,9259,8.13
4319703577,2016-04-29,7990,8.72
4319703577,2016-04-19,8925,7.68
4319703577,2016-05-10,9487,8.12
4388161847,2016-04-18,11009,1.65
4388161847,2016-05-05,9603,7.85
4388161847,2016-05-07,22770,7.87
4388161847,2016-04-24,10243,9.2
4388161847,2016-04-21,10055,7.37
4388161847,2016-04-19,10181,5.48
4388161847,2016-05-11,10201,7.82
4388161847,2016-04-23,13236,7.97
4388161847,2016-04-22,12139,1.37
4388161847,2016-05-09,10218,1.03
4388161847,2016-04-15,8758,8.32
4388161847,2016-04-28,10074,7.13
4388161847,2016-04-16,6580,7.1
4388161847,2016-05-10,10299,5.9
4388161847,2016-04-30,12533,6.82
4388161847,2016-05-08,17298,8.82
4388161847,2016-04-17,4660,10.32
4388161847,2016-05-02,10096,6.13
4388161847,2016-05-04,12375,6.5
4388161847,2016-04-27,11193,7.32
4388161847,2016-04-26,9461,5.32
4388161847,2016-05-01,10255,9.12
4388161847,2016-04-20,10553,7.02
4445114986,2016-05-10,3915,6.75
4445114986,2016-05-01,5232,7.32
4445114986,2016-04-20,2072,7.32
4445114986,2016-04-26,6326,5.88
4445114986,2016-04-28,4493,6.98
4445114986,2016-05-09,5275,7.62
4445114986,2016-04-27,7243,5.53
4445114986,2016-04-17,2268,1.63
4445114986,2016-04-21,3809,7.27
4445114986,2016-05-07,5183,6.68
4445114986,2016-04-15,7198,5.62
4445114986,2016-04-16,3945,7.7
4445114986,2016-04-25,3385,5.47
4445114986,2016-05-02,6910,8.37
4445114986,2016-05-11,9105,8.32
4445114986,2016-05-08,7303,6.02
4445114986,2016-04-14,3974,7.35
4445114986,2016-04-29,4676,1.77
4445114986,2016-04-19,2064,6.47
4445114986,2016-05-05,3800,7.7
4445114986,2016-05-12,768,8.05
4445114986,2016-04-13,2961,6.17
4445114986,2016-04-30,6222,5.37
4445114986,2016-04-22,6831,6.47
4445114986,2016-05-04,2923,5.62
4445114986,2016-04-12,3276,7.15
4445114986,2016-05-06,4514,6.23
4445114986,2016-05-03,7502,6.95
4558609924,2016-05-01,3428,1.92
4558609924,2016-04-21,13743,2.1
4558609924,2016-05-08,6543,2.05
4558609924,2016-04-26,9148,1.72
4558609924,2016-04-29,7833,2.85
4702921684,2016-04-14,7860,6.4
4702921684,2016-05-07,14370,8.67
4702921684,2016-05-11,9810,5.9
4702921684,2016-05-06,6943,6.73
4702921684,2016-04-16,11140,6.37
4702921684,2016-04-20,8793,7.57
4702921684,2016-05-12,2752,6.73
4702921684,2016-05-05,8614,6.9
4702921684,2016-04-27,7047,7.2
4702921684,2016-04-26,6108,7.02
4702921684,2016-04-28,9023,7.37
4702921684,2016-05-10,10613,6.93
4702921684,2016-05-04,8161,6.87
4702921684,2016-04-21,6530,7.08
4702921684,2016-04-29,9930,7.22
4702921684,2016-04-13,6877,6.67
4702921684,2016-04-23,15126,7.75
4702921684,2016-05-09,8232,7.25
4702921684,2016-04-30,10144,7.98
4702921684,2016-04-25,9167,6.17
4702921684,2016-04-17,12692,9.85
4702921684,2016-04-12,7213,7.08
4702921684,2016-04-24,15050,8.0
4702921684,2016-04-15,6506,4.22
4702921684,2016-04-19,6708,7.62
4702921684,2016-05-03,9454,5.45
4702921684,2016-04-18,9105,4.88
5553957443,2016-04-21,12346,6.65
5553957443,2016-05-05,14331,6.98
5553957443,2016-04-19,15482,5.95
5553957443,2016-04-30,1202,12.92
5553957443,2016-04-24,1807,9.22
5553957443,2016-05-11,4926,7.72
5553957443,2016-04-15,16556,6.28
5553957443,2016-05-01,5164,10.37
5553957443,2016-04-29,12764,7.5
5553957443,2016-05-09,11611,7.55
5553957443,2016-04-28,11393,7.02
5553957443,2016-04-25,10946,7.22
5553957443,2016-04-17,655,5.83
5553957443,2016-04-26,11886,6.87
5553957443,2016-04-18,3727,8.67
5553957443,2016-04-27,10538,5.78
5553957443,2016-05-06,9632,6.67
5553957443,2016-04-12,11596,7.35
5553957443,2016-05-08,6083,9.47
5553957443,2016-05-12,3121,7.3
5553957443,2016-05-03,12848,6.33
5553957443,2016-05-10,16358,6.97
5553957443,2016-05-07,1868,7.37
5553957443,2016-04-23,4112,10.52
5553957443,2016-04-14,17022,5.95
5553957443,2016-04-13,4832,7.58
5553957443,2016-04-16,5771,10.85
5553957443,2016-05-02,9769,6.82
5553957443,2016-04-20,2713,10.97
5553957443,2016-05-04,4249,7.45
5553957443,2016-04-22,11682,5.37
5577150313,2016-05-10,8869,8.4
5577150313,2016-04-29,7924,7.65
5577150313,2016-05-03,11045,8.47
5577150313,2016-04-13,5077,7.2
5577150313,2016-05-02,7439,8.75
5577150313,2016-04-23,7638,6.4
5577150313,2016-05-05,7550,1.23
5577150313,2016-04-15,12087,6.53
5577150313,2016-05-01,13368,6.32
5577150313,2016-04-26,5325,5.9
5577150313,2016-04-25,6393,7.02
5577150313,2016-04-19,12574,7.48
5577150313,2016-04-17,12231,9.15
5577150313,2016-04-20,8330,7.45
5577150313,2016-04-21,10830,6.9
5577150313,2016-04-16,14269,6.77
5577150313,2016-05-04,5206,10.05
5577150313,2016-04-14,8596,7.95
5577150313,2016-04-18,9893,8.78
5577150313,2016-04-30,12363,6.87
5577150313,2016-05-11,4038,7.18
5577150313,2016-04-27,6805,7.07
5577150313,2016-04-12,8135,6.98
5577150313,2016-04-22,9172,5.63
5577150313,2016-04-24,15764,9.05
5577150313,2016-04-28,9841,6.02
6117666160,2016-04-17,7150,5.6
6117666160,2016-04-21,19542,8.47
6117666160,2016-04-27,9411,9.03
6117666160,2016-05-05,9799,6.53
6117666160,2016-04-19,11135,7.75
6117666160,2016-05-01,8915,8.45
6117666160,2016-04-29,9592,10.0
6117666160,2016-05-09,4477,8.2
6117666160,2016-04-23,11495,8.2
6117666160,2016-04-22,8206,8.0
6117666160,2016-05-08,7328,9.25
6117666160,2016-05-07,7336,8.3
6117666160,2016-04-24,7623,5.88
6117666160,2016-04-16,14450,6.33
6117666160,2016-05-06,3365,10.97
6117666160,2016-04-18,5153,8.22
6117666160,2016-04-20,10449,7.9
6117666160,2016-04-28,3403,6.55
6775888955,2016-04-14,5162,7.05
6775888955,2016-04-13,4053,3.92
6775888955,2016-04-15,1282,6.52
6962181067,2016-05-07,6815,4.97
6962181067,2016-04-19,10742,7.93
6962181067,2016-05-04,10147,7.37
6962181067,2016-04-29,10762,7.22
6962181067,2016-04-12,10199,6.1
6962181067,2016-05-08,4188,9.02
6962181067,2016-05-10,15448,7.82
6962181067,2016-05-11,6722,7.53
6962181067,2016-05-06,5908,7.38
6962181067,2016-04-22,10725,7.08
6962181067,2016-04-27,10320,7.58
6962181067,2016-04-28,12627,7.33
6962181067,2016-05-12,3587,8.6
6962181067,2016-04-30,10081,7.03
6962181067,2016-04-20,13928,6.97
6962181067,2016-04-14,1551,8.47
6962181067,2016-04-24,5029,8.52
6962181067,2016-04-26,10433,7.35
6962181067,2016-05-03,12109,6.57
6962181067,2016-04-13,5652,10.5
6962181067,2016-05-05,10524,7.78
6962181067,2016-05-09,12342,8.15
6962181067,2016-04-25,13239,6.67
6962181067,2016-05-01,5454,6.85
6962181067,2016-05-02,12912,7.77
6962181067,2016-04-17,10145,7.12
6962181067,2016-04-18,11404,7.37
6962181067,2016-04-15,5563,6.17
6962181067,2016-04-16,13217,5.95
6962181067,2016-04-23,20031,8.8
6962181067,2016-04-21,11835,7.52
7007744171,2016-04-16,4631,1.32
7007744171,2016-05-01,5600,0.97
7086361926,2016-05-08,10677,8.02
7086361926,2016-05-12,3789,7.4
7086361926,2016-05-11,9572,7.52
7086361926,2016-04-22,9753,7.13
7086361926,2016-04-28,11584,5.9
7086361926,2016-04-15,8585,6.28
7086361926,2016-04-27,11107,7.82
7086361926,2016-05-02,10052,7.33
7086361926,2016-05-04,10988,7.0
7086361926,2016-04-26,10387,8.08
7086361926,2016-04-13,5813,7.52
7086361926,2016-04-20,14365,8.2
7086361926,2016-04-30,14560,8.08
7086361926,2016-05-09,13566,7.12
7086361926,2016-04-19,10688,7.87
7086361926,2016-04-12,11317,8.57
7086361926,2016-05-06,12461,5.37
7086361926,2016-04-25,10091,7.43
7086361926,2016-04-24,3520,11.35
7086361926,2016-05-01,12390,6.47
7086361926,2016-05-03,10288,7.6
7086361926,2016-04-21,9469,6.5
7086361926,2016-04-14,9123,7.87
7086361926,2016-05-07,12827,8.83
8053475328,2016-04-20,15108,8.1
8053475328,2016-04-23,22359,5.52
8053475328,2016-05-07,19769,1.23
8378563200,2016-04-25,12405,6.47
8378563200,2016-04-20,9388,6.35
8378563200,2016-04-19,13070,6.45
8378563200,2016-04-17,2132,8.75
8378563200,2016-04-21,15148,6.6
8378563200,2016-05-09,8382,5.98
8378563200,2016-05-03,8712,6.75
8378563200,2016-05-12,4561,8.27
8378563200,2016-04-15,14461,8.55
8378563200,2016-05-02,6064,5.85
8378563200,2016-04-28,5417,8.43
8378563200,2016-04-18,13630,6.63
8378563200,2016-04-27,7359,8.85
8378563200,2016-05-06,7045,5.38
8378563200,2016-04-13,12386,7.45
8378563200,2016-05-07,4468,7.65
8378563200,2016-05-10,6582,5.7
8378563200,2016-05-05,8567,6.35
8378563200,2016-04-30,2946,7.8
8378563200,2016-05-01,11419,7.92
8378563200,2016-04-29,6175,8.78
8378563200,2016-04-16,11207,10.18
8378563200,2016-05-08,2943,9.08
8378563200,2016-04-22,12200,7.35
8378563200,2016-05-04,7875,7.35
8378563200,2016-04-12,7626,5.63
8378563200,2016-05-11,9143,6.13
8378563200,2016-04-26,16208,9.17
8378563200,2016-04-23,5709,9.42
8378563200,2016-04-14,13318,7.07
8378563200,2016-04-24,3703,7.63
8792009665,2016-04-27,1758,7.05
8792009665,2016-04-12,2564,7.63
8792009665,2016-04-14,1219,8.1
8792009665,2016-05-04,2283,7.32
8792009665,2016-04-22,4068,6.52
8792009665,2016-04-28,6157,6.7
8792009665,2016-04-20,3147,8.8
8792009665,2016-05-03,2421,8.6
8792009665,2016-05-01,1619,8.38
8792009665,2016-04-23,5245,5.65
8792009665,2016-05-02,1831,6.92
8792009665,2016-04-30,7174,5.72
8792009665,2016-04-29,8360,6.63
8792009665,2016-04-13,1320,8.85
8792009665,2016-04-15,2483,6.05
